public_path,disk_path,source_raster,target_width,original_bytes,candidate_bytes,saved_bytes,saved_pct,action,error
/images/miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-1920w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-1920w.webp,images/local/miami-hill-lookout-sunset-gold-coast.jpg,1920,108262,83340,24922,23.02,replaced,
/images/miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-640w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-640w.webp,images/local/miami-hill-lookout-sunset-gold-coast.jpg,640,26468,30722,-4254,-16.07,kept_original,
/images/miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-960w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-960w.webp,images/local/miami-hill-lookout-sunset-gold-coast.jpg,960,44960,57060,-12100,-26.91,kept_original,
/images/miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation.webp,images/local/miami-hill-lookout-sunset-gold-coast.jpg,1400,83340,83340,0,0.00,kept_original,
/images/movie-world-family-entrance-gate-nearby-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\movie-world-family-entrance-gate-nearby-burleigh-gold-coast-motel.webp,images/theme-parks/movie-world/movie-world-family-entrance-gate-nearby-burleigh-gold-coast-motel.webp,1200,124244,124244,0,0.00,kept_original,
/images/north-burleigh-heads-beach-aerial-gold-coast.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\north-burleigh-heads-beach-aerial-gold-coast.webp,images/local/north-burleigh-heads-beach-aerial-gold-coast.jpg,1400,202156,202156,0,0.00,kept_original,
/images/north-burleigh-heads-suburb-aerial-gold-coast.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\north-burleigh-heads-suburb-aerial-gold-coast.webp,images/local/north-burleigh-heads-suburb-aerial-gold-coast.jpg,1400,257176,257176,0,0.00,kept_original,
/images/private-ensuite-vessel-sink-arch-mirror-burleigh-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\private-ensuite-vessel-sink-arch-mirror-burleigh-motel.webp,images/motel/rooms/bathrooms/private-ensuite-vessel-sink-arch-mirror-burleigh-motel.webp,1200,19342,19342,0,0.00,kept_original,
/images/quad-room-queen-two-singles-burleigh-gold-coast-motel-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\quad-room-queen-two-singles-burleigh-gold-coast-motel-280w.webp,images/motel/rooms/quad/quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,280,3644,3902,-258,-7.08,kept_original,
/images/quad-room-queen-two-singles-burleigh-gold-coast-motel-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\quad-room-queen-two-singles-burleigh-gold-coast-motel-340w.webp,images/motel/rooms/quad/quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,340,4844,5352,-508,-10.49,kept_original,
/images/quad-room-queen-two-singles-burleigh-gold-coast-motel-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\quad-room-queen-two-singles-burleigh-gold-coast-motel-420w.webp,images/motel/rooms/quad/quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,420,6996,7714,-718,-10.26,kept_original,
/images/quad-room-queen-two-singles-burleigh-gold-coast-motel-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\quad-room-queen-two-singles-burleigh-gold-coast-motel-680w.webp,images/motel/rooms/quad/quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,680,16406,18434,-2028,-12.36,kept_original,
/images/quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,images/motel/rooms/quad/quad-room-queen-two-singles-burleigh-gold-coast-motel.webp,1400,62280,62280,0,0.00,kept_original,
/images/rooms/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-1060w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\rooms\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-1060w.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,1060,29044,34838,-5794,-19.95,kept_original,
/images/rooms/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\rooms\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-420w.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,420,6998,7702,-704,-10.06,kept_original,
